Player Ali:
(coordinates recorded in cm precision)
  00:00:163: (x: 77, y: 322)
  00:00:622: (x: 37, y: 354)
  00:00:741: (x: -11, y: 308)
  00:00:939: (x: -11, y: 308)
  00:01:058: (x: 51, y: 328)
  00:01:254: (x: 51, y: 328)
  00:01:364: (x: 74, y: 272)
  00:01:568: (x: 74, y: 272)
  00:01:678: (x: 74, y: 272)
  00:01:885: (x: 101, y: 361)
  00:01:993: (x: 101, y: 361)
  00:02:195: (x: 48, y: 363)
  00:02:308: (x: 48, y: 363)
  00:02:503: (x: 17, y: 301)
  00:02:619: (x: 17, y: 301)
  00:02:811: (x: 54, y: 300)
  00:02:933: (x: 54, y: 300)
  00:03:118: (x: 34, y: 276)
  00:03:254: (x: 34, y: 276)
  00:03:434: (x: 104, y: 312)
  00:03:623: (x: 104, y: 312)
  00:03:752: (x: 104, y: 312)
  00:03:904: (x: 99, y: 384)
  00:04:063: (x: 99, y: 384)
  00:04:209: (x: 28, y: 304)
  00:04:373: (x: 28, y: 304)
  00:04:524: (x: 104, y: 346)
  00:04:686: (x: 104, y: 346)
  00:04:831: (x: 107, y: 315)
  00:04:997: (x: 107, y: 315)
  00:05:146: (x: 10, y: 382)
  00:05:312: (x: 10, y: 382)
  00:05:454: (x: 10, y: 382)
  00:05:623: (x: 86, y: 344)
  00:05:771: (x: 86, y: 344)
  00:05:935: (x: -25, y: 357)
  00:06:086: (x: -25, y: 357)
  00:06:244: (x: 62, y: 367)
  00:06:400: (x: 62, y: 367)
  00:06:557: (x: 36, y: 309)
  00:06:716: (x: 36, y: 309)
  00:06:866: (x: 57, y: 330)
  00:07:029: (x: 57, y: 330)
  00:07:186: (x: 57, y: 330)
  00:07:344: (x: 53, y: 352)
  00:07:494: (x: 53, y: 352)
  00:07:662: (x: 105, y: 264)
  00:07:805: (x: 105, y: 264)
  00:07:973: (x: 25, y: 324)
  00:08:120: (x: 25, y: 324)
  00:08:279: (x: -23, y: 321)
  00:08:437: (x: -23, y: 321)
  00:08:593: (x: 25, y: 324)
  00:08:746: (x: 25, y: 324)
  00:08:899: (x: 25, y: 324)
  00:09:057: (x: 68, y: 331)
  00:09:207: (x: 68, y: 331)
  00:09:364: (x: 89, y: 386)
  00:09:514: (x: 89, y: 386)
  00:09:676: (x: 159, y: 346)
  00:09:834: (x: 159, y: 346)
  00:09:989: (x: 51, y: 318)
  00:10:143: (x: 51, y: 318)
  00:10:299: (x: 4, y: 357)
  00:10:457: (x: 4, y: 357)
  00:10:606: (x: 4, y: 357)
  00:10:770: (x: 84, y: 323)
  00:10:916: (x: 84, y: 323)
  00:11:089: (x: 88, y: 336)
  00:11:225: (x: 88, y: 336)
  00:11:403: (x: 70, y: 400)
  00:11:538: (x: 70, y: 400)
  00:11:710: (x: 12, y: 341)
  00:11:854: (x: 12, y: 341)
  00:12:017: (x: 12, y: 341)
  00:12:160: (x: 42, y: 312)
  00:12:331: (x: 42, y: 312)
