Player Ali:
(coordinates recorded in cm precision)
  00:00:213: (x: 39, y: 273)
  00:00:529: (x: 39, y: 273)
  00:00:610: (x: 39, y: 273)
  00:00:834: (x: 39, y: 273)
  00:00:918: (x: 39, y: 273)
  00:01:147: (x: 39, y: 273)
  00:01:232: (x: 39, y: 273)
  00:01:455: (x: 39, y: 273)
  00:01:538: (x: 39, y: 273)
  00:01:765: (x: 39, y: 273)
  00:01:850: (x: 39, y: 273)

Player C:
(coordinates recorded in cm precision)
  00:00:213: (x: 551, y: -631)
  00:00:529: (x: 551, y: -631)
  00:00:610: (x: 551, y: -631)
  00:00:834: (x: 517, y: -610)
  00:00:918: (x: 517, y: -610)
  00:01:147: (x: 517, y: -610)
  00:01:232: (x: 517, y: -610)
  00:01:455: (x: 517, y: -610)
  00:01:538: (x: 400, y: -601)
  00:01:765: (x: 400, y: -601)
  00:01:850: (x: 400, y: -601)
