Player Ali:
(coordinates recorded in cm precision)
  00:01:238: (x: 753, y: -137)
  00:01:549: (x: 672, y: -120)
  00:01:630: (x: 672, y: -120)
  00:01:856: (x: 562, y: -75)
  00:01:940: (x: 562, y: -75)
  00:02:171: (x: 562, y: -75)
  00:02:250: (x: 562, y: -75)
  00:02:561: (x: 637, y: -113)
  00:02:802: (x: 753, y: -245)
  00:02:878: (x: 753, y: -245)
  00:03:124: (x: 753, y: -245)
  00:03:190: (x: 517, y: -449)
  00:03:438: (x: 517, y: -449)
  00:03:503: (x: 517, y: -449)
  00:03:813: (x: 565, y: -152)
  00:04:067: (x: 860, y: -620)
  00:04:124: (x: 860, y: -620)
  00:04:383: (x: 860, y: -620)
  00:04:432: (x: 860, y: -620)
  00:04:697: (x: 541, y: -251)
  00:04:742: (x: 541, y: -251)
  00:05:061: (x: 642, y: -22)
  00:05:311: (x: 642, y: -22)
  00:05:379: (x: 642, y: -22)
  00:05:627: (x: 714, y: 175)
  00:05:693: (x: 714, y: 175)
  00:05:937: (x: 540, y: 138)
  00:06:247: (x: 540, y: 138)
  00:06:325: (x: 121, y: 343)
  00:06:554: (x: 121, y: 343)
  00:06:632: (x: 121, y: 343)
  00:06:864: (x: 110, y: 433)
  00:06:951: (x: 110, y: 433)
  00:07:178: (x: 110, y: 433)
  00:07:486: (x: -213, y: 378)
  00:07:583: (x: -213, y: 378)
  00:07:803: (x: 9, y: 371)
  00:07:896: (x: 9, y: 371)
  00:08:109: (x: -102, y: 596)
  00:08:204: (x: -102, y: 596)
  00:08:414: (x: -102, y: 596)
  00:08:722: (x: -116, y: 605)
  00:08:830: (x: -116, y: 605)
  00:09:036: (x: -121, y: 557)
  00:09:146: (x: -121, y: 557)
  00:09:351: (x: -121, y: 557)
  00:09:452: (x: -199, y: 599)
  00:09:760: (x: -199, y: 599)
  00:09:969: (x: -94, y: 591)
  00:10:071: (x: -94, y: 591)
  00:10:288: (x: -41, y: 431)
  00:10:384: (x: -41, y: 431)
  00:10:603: (x: -41, y: 431)
  00:10:701: (x: -41, y: 431)
  00:11:015: (x: 99, y: 106)
  00:11:242: (x: -64, y: 237)
  00:11:328: (x: -64, y: 237)
  00:11:559: (x: -64, y: 237)
  00:11:637: (x: 97, y: -227)
  00:11:875: (x: 97, y: -227)
  00:11:952: (x: 97, y: -227)
  00:12:264: (x: 148, y: -222)
  00:12:498: (x: 148, y: -222)
  00:12:583: (x: 200, y: -26)
  00:12:810: (x: 200, y: -26)
  00:12:893: (x: 200, y: -26)
  00:13:128: (x: -176, y: 256)
  00:13:442: (x: -260, y: 522)
  00:13:525: (x: -260, y: 522)
  00:13:751: (x: -260, y: 522)
  00:13:836: (x: -260, y: 522)
  00:14:071: (x: -481, y: 638)
  00:14:142: (x: -481, y: 638)
  00:14:377: (x: -398, y: 594)
  00:14:686: (x: -398, y: 594)
  00:14:763: (x: -487, y: 654)
  00:15:002: (x: -487, y: 654)
  00:15:080: (x: -487, y: 654)
  00:15:309: (x: -535, y: 472)
  00:15:402: (x: -535, y: 472)
