Player Ali:
(coordinates recorded in cm precision)
  00:00:647: (x: -417, y: -1188)
  00:00:703: (x: -417, y: -1188)
  00:00:952: (x: -417, y: -1188)
  00:01:009: (x: -417, y: -1188)
  00:01:264: (x: -417, y: -1188)
  00:01:326: (x: -394, y: -1192)
  00:01:573: (x: -394, y: -1192)
  00:01:646: (x: -394, y: -1192)
  00:01:885: (x: -394, y: -1192)
  00:01:958: (x: -394, y: -1192)
  00:02:191: (x: -428, y: -1192)
  00:02:263: (x: -428, y: -1192)
  00:02:507: (x: -428, y: -1192)
  00:02:575: (x: -428, y: -1192)
  00:02:812: (x: -428, y: -1192)
  00:02:892: (x: -428, y: -1192)
  00:03:122: (x: -335, y: -1178)
  00:03:211: (x: -335, y: -1178)
  00:03:429: (x: -335, y: -1178)
  00:03:516: (x: -335, y: -1178)
  00:03:749: (x: -335, y: -1178)
  00:03:829: (x: -335, y: -1178)
  00:04:062: (x: -350, y: -1256)
  00:04:136: (x: -350, y: -1256)
  00:04:371: (x: -350, y: -1256)
  00:04:451: (x: -350, y: -1256)
  00:04:696: (x: -350, y: -1256)
  00:04:771: (x: -324, y: -1192)
  00:05:014: (x: -324, y: -1192)
  00:05:093: (x: -324, y: -1192)
  00:05:324: (x: -324, y: -1192)
  00:05:407: (x: -324, y: -1192)
  00:05:642: (x: -378, y: -1154)
  00:05:712: (x: -378, y: -1154)
  00:05:960: (x: -378, y: -1154)
  00:06:030: (x: -378, y: -1154)
  00:06:268: (x: -378, y: -1154)
  00:06:341: (x: -378, y: -1154)
  00:06:575: (x: -454, y: -1160)
  00:06:657: (x: -454, y: -1160)
  00:06:889: (x: -454, y: -1160)
  00:06:967: (x: -454, y: -1160)
  00:07:194: (x: -454, y: -1160)
  00:07:277: (x: -454, y: -1160)
  00:07:501: (x: -322, y: -1257)
  00:07:584: (x: -322, y: -1257)
  00:07:810: (x: -322, y: -1257)
  00:07:890: (x: -322, y: -1257)
  00:08:131: (x: -322, y: -1257)
  00:08:204: (x: -123, y: -1392)
  00:08:437: (x: -123, y: -1392)
  00:08:523: (x: -123, y: -1392)
  00:08:754: (x: -123, y: -1392)
  00:08:829: (x: -123, y: -1392)
  00:09:067: (x: -542, y: -1116)
  00:09:150: (x: -542, y: -1116)
  00:09:384: (x: -542, y: -1116)
  00:09:461: (x: -542, y: -1116)
  00:09:693: (x: -542, y: -1116)
  00:09:772: (x: -542, y: -1116)
  00:10:009: (x: 45, y: -972)
  00:10:090: (x: 45, y: -972)
  00:10:327: (x: 45, y: -972)
  00:10:401: (x: 45, y: -972)
  00:10:645: (x: 45, y: -972)
  00:10:709: (x: 45, y: -972)
  00:10:955: (x: 20, y: -429)
  00:11:023: (x: 20, y: -429)
  00:11:267: (x: 20, y: -429)
  00:11:331: (x: 20, y: -429)
  00:11:587: (x: 20, y: -429)
  00:11:651: (x: 238, y: -293)
  00:11:905: (x: 238, y: -293)
  00:11:960: (x: 238, y: -293)
  00:12:212: (x: 238, y: -293)
  00:12:266: (x: 238, y: -293)
  00:12:531: (x: 95, y: -270)
  00:12:591: (x: 95, y: -270)
  00:12:848: (x: 95, y: -270)
  00:12:897: (x: 95, y: -270)
  00:13:165: (x: 95, y: -270)
  00:13:205: (x: 95, y: -270)
  00:13:475: (x: -341, y: -237)
  00:13:515: (x: -341, y: -237)
  00:13:783: (x: -341, y: -237)
  00:13:822: (x: -341, y: -237)
  00:14:089: (x: -341, y: -237)
  00:14:132: (x: -341, y: -237)
  00:14:399: (x: -61, y: -346)

Player Ahmed:
(coordinates recorded in cm precision)
  00:00:647: (x: -22, y: -915)
  00:00:703: (x: -22, y: -915)
  00:00:952: (x: -22, y: -915)
  00:01:009: (x: -22, y: -915)
  00:01:264: (x: -22, y: -915)
  00:01:326: (x: -22, y: -915)
  00:01:573: (x: -22, y: -915)
  00:01:646: (x: -22, y: -915)
  00:01:885: (x: -22, y: -915)
  00:01:958: (x: -22, y: -915)
  00:02:191: (x: -22, y: -915)
  00:02:263: (x: -22, y: -915)
  00:02:507: (x: -22, y: -915)
  00:02:575: (x: -22, y: -915)
  00:02:812: (x: -22, y: -915)
  00:02:892: (x: -22, y: -915)
  00:03:122: (x: -22, y: -915)
  00:03:211: (x: -22, y: -915)
  00:03:429: (x: -22, y: -915)
  00:03:516: (x: -22, y: -915)
  00:03:749: (x: -22, y: -915)
  00:03:829: (x: -22, y: -915)
  00:04:062: (x: -22, y: -915)
  00:04:136: (x: -22, y: -915)
  00:04:371: (x: -22, y: -915)
  00:04:451: (x: -22, y: -915)
  00:04:696: (x: -22, y: -915)
  00:04:771: (x: -22, y: -915)
  00:05:014: (x: -22, y: -915)
  00:05:093: (x: -22, y: -915)
  00:05:324: (x: -22, y: -915)
  00:05:407: (x: -22, y: -915)
  00:05:642: (x: -22, y: -915)
  00:05:712: (x: -22, y: -915)
  00:05:960: (x: -22, y: -915)
  00:06:030: (x: -22, y: -915)
  00:06:268: (x: -22, y: -915)
  00:06:341: (x: -22, y: -915)
  00:06:575: (x: -22, y: -915)
  00:06:657: (x: -22, y: -915)
  00:06:889: (x: -22, y: -915)
  00:06:967: (x: -22, y: -915)
  00:07:194: (x: -22, y: -915)
  00:07:277: (x: -22, y: -915)
  00:07:501: (x: -22, y: -915)
  00:07:584: (x: -22, y: -915)
  00:07:810: (x: -22, y: -915)
  00:07:890: (x: -22, y: -915)
  00:08:131: (x: -22, y: -915)
  00:08:204: (x: -22, y: -915)
  00:08:437: (x: -22, y: -915)
  00:08:523: (x: -22, y: -915)
  00:08:754: (x: -22, y: -915)
  00:08:829: (x: -22, y: -915)
  00:09:067: (x: -22, y: -915)
  00:09:150: (x: -22, y: -915)
  00:09:384: (x: -22, y: -915)
