Player Ali:
(coordinates recorded in cm precision)
  00:00:464: (x: 1591, y: 81)
  00:00:728: (x: 1558, y: 68)
  00:00:782: (x: 1558, y: 68)
  00:01:043: (x: 1579, y: 141)
  00:01:097: (x: 1579, y: 141)
  00:01:350: (x: 1568, y: 77)
  00:01:414: (x: 1567, y: 133)
  00:01:660: (x: 1614, y: 145)
  00:01:724: (x: 1614, y: 145)
  00:01:977: (x: 1621, y: 110)
  00:02:033: (x: 1621, y: 110)
  00:02:287: (x: 1567, y: 34)
  00:02:354: (x: 1526, y: 15)
  00:02:596: (x: 1540, y: -9)
  00:02:661: (x: 1540, y: -9)
  00:00:486: (x: 1578, y: 83)
  00:00:745: (x: 1570, y: 81)
  00:00:802: (x: 1570, y: 81)
  00:01:061: (x: 1581, y: 87)

Player Ahmed:
(coordinates recorded in cm precision)
  00:00:464: (x: 227, y: 772)
  00:00:728: (x: 72, y: 825)
  00:00:782: (x: 72, y: 825)
  00:01:043: (x: 96, y: 810)
  00:01:097: (x: 96, y: 810)
  00:01:350: (x: 91, y: 785)
  00:01:414: (x: 91, y: 785)
  00:01:660: (x: 167, y: 788)
  00:01:724: (x: 167, y: 788)
  00:01:977: (x: 76, y: 834)
  00:02:033: (x: 57, y: 890)
  00:02:287: (x: 84, y: 864)
  00:02:354: (x: 84, y: 864)
  00:02:596: (x: 124, y: 845)
  00:02:661: (x: 124, y: 845)
  00:00:486: (x: 114, y: 785)
  00:00:745: (x: 197, y: 742)
  00:00:802: (x: 197, y: 742)
  00:01:061: (x: 162, y: 817)
