Player Ali:
(coordinates recorded in cm precision)
  00:00:316: (x: 1608, y: 87)
  00:00:461: (x: 1602, y: 76)
  00:00:579: (x: 1608, y: 87)
  00:00:634: (x: 1608, y: 87)
  00:00:925: (x: 1546, y: 91)
  00:01:091: (x: 1554, y: 112)
  00:01:238: (x: 1554, y: 112)
  00:01:404: (x: 1585, y: 74)
  00:01:548: (x: 1555, y: 82)
  00:01:718: (x: 1578, y: 51)
  00:01:866: (x: 1600, y: 103)
  00:02:024: (x: 1578, y: 99)
  00:02:172: (x: 1623, y: 135)
  00:02:329: (x: 1623, y: 135)
  00:02:490: (x: 1562, y: 103)
  00:02:640: (x: 1562, y: 103)
  00:02:802: (x: 1552, y: 114)
  00:02:945: (x: 1615, y: 129)
  00:03:120: (x: 1581, y: 55)
  00:03:253: (x: 1581, y: 55)
  00:00:475: (x: 1550, y: 65)
  00:00:726: (x: 1565, y: 58)
  00:00:788: (x: 1575, y: 72)
  00:01:047: (x: 1554, y: 62)
  00:01:096: (x: 1554, y: 62)
  00:01:358: (x: 1594, y: 80)
  00:01:415: (x: 1594, y: 80)
  00:01:672: (x: 1551, y: 33)
  00:01:728: (x: 1566, y: 42)
  00:01:986: (x: 1559, y: 105)
  00:02:042: (x: 1580, y: 85)
  00:02:300: (x: 1580, y: 85)
  00:02:481: (x: 1586, y: 65)
  00:02:615: (x: 1579, y: 102)
  00:00:593: (x: 1576, y: 62)
  00:00:854: (x: 1581, y: 76)
  00:00:910: (x: 1581, y: 76)
  00:01:173: (x: 1619, y: 86)
  00:01:218: (x: 1619, y: 86)
  00:01:482: (x: 1598, y: 133)
  00:01:530: (x: 1598, y: 133)
  00:01:795: (x: 1632, y: 190)
  00:01:835: (x: 1632, y: 190)
  00:02:101: (x: 1526, y: 22)
  00:02:142: (x: 1526, y: 22)
  00:02:407: (x: 1573, y: 58)
  00:02:462: (x: 1573, y: 58)
  00:02:727: (x: 1577, y: 95)
  00:02:777: (x: 1577, y: 95)
  00:03:036: (x: 1584, y: 89)
  00:03:096: (x: 1584, y: 89)
  00:03:345: (x: 1605, y: 121)
  00:03:410: (x: 1572, y: 104)
  00:03:655: (x: 1583, y: 57)
  00:03:726: (x: 1583, y: 57)
  00:03:961: (x: 1608, y: 87)
  00:04:038: (x: 1608, y: 87)
  00:04:273: (x: 1563, y: 70)
  00:04:348: (x: 1576, y: 23)
  00:04:589: (x: 1585, y: 77)
  00:04:660: (x: 1585, y: 77)
  00:04:901: (x: 1566, y: 84)
  00:04:967: (x: 1566, y: 84)
  00:05:219: (x: 1538, y: 36)
  00:05:277: (x: 1538, y: 36)
  00:05:532: (x: 1562, y: 103)
  00:05:593: (x: 1581, y: 55)
  00:05:845: (x: 1598, y: 84)
  00:05:908: (x: 1598, y: 84)
  00:06:158: (x: 1603, y: 94)
  00:06:212: (x: 1603, y: 94)
  00:06:474: (x: 1544, y: 24)
  00:06:530: (x: 1544, y: 24)
  00:06:781: (x: 1566, y: 22)
  00:06:837: (x: 1566, y: 22)
  00:07:090: (x: 1651, y: 73)
  00:07:147: (x: 1651, y: 73)
  00:07:403: (x: 1621, y: 42)
  00:07:465: (x: 1555, y: 86)
  00:07:716: (x: 1569, y: 69)
  00:07:783: (x: 1562, y: 144)
  00:08:030: (x: 1590, y: 120)
  00:08:103: (x: 1590, y: 120)
  00:08:341: (x: 1594, y: 114)
  00:08:409: (x: 1594, y: 114)
  00:08:653: (x: 1526, y: 20)
  00:08:727: (x: 1549, y: 79)
  00:08:960: (x: 1571, y: 26)
  00:09:037: (x: 1571, y: 26)
  00:09:266: (x: 1602, y: 90)
  00:09:353: (x: 1602, y: 90)
  00:09:587: (x: 1579, y: 70)
  00:09:660: (x: 1573, y: 147)
  00:09:907: (x: 1563, y: 62)
  00:09:967: (x: 1563, y: 62)
  00:10:214: (x: 1608, y: 60)
  00:10:284: (x: 1608, y: 60)
  00:10:524: (x: 1585, y: 54)
  00:10:596: (x: 1639, y: 120)
  00:10:831: (x: 1599, y: 88)
  00:10:907: (x: 1571, y: 75)
  00:11:137: (x: 1615, y: 102)
  00:11:225: (x: 1615, y: 102)
  00:11:450: (x: 1593, y: 59)
  00:11:535: (x: 1593, y: 59)
  00:11:774: (x: 1614, y: 102)
  00:11:841: (x: 1590, y: 83)
  00:12:079: (x: 1552, y: 87)
  00:12:157: (x: 1552, y: 87)
  00:12:394: (x: 1551, y: 68)
  00:12:467: (x: 1551, y: 68)
  00:12:708: (x: 1610, y: 104)
  00:12:782: (x: 1610, y: 104)
  00:13:020: (x: 1551, y: 18)
  00:13:090: (x: 1579, y: 68)
  00:13:332: (x: 1586, y: 75)
  00:13:401: (x: 1586, y: 75)
  00:13:642: (x: 1558, y: 54)
  00:13:718: (x: 1558, y: 54)
  00:13:956: (x: 1549, y: 43)
  00:14:026: (x: 1526, y: 123)
  00:14:266: (x: 1526, y: 123)
  00:14:339: (x: 1526, y: 123)
  00:14:573: (x: 1542, y: 42)
  00:14:652: (x: 1542, y: 42)
  00:14:883: (x: 1574, y: 67)
  00:14:968: (x: 1591, y: 85)
  00:15:199: (x: 1610, y: 78)
  00:15:289: (x: 1594, y: 102)
  00:15:508: (x: 1594, y: 81)
  00:15:597: (x: 1594, y: 81)
  00:15:824: (x: 1607, y: 106)
  00:15:909: (x: 1607, y: 106)
  00:16:141: (x: 1618, y: 109)
  00:16:217: (x: 1565, y: 70)
  00:16:457: (x: 1606, y: 119)
  00:16:541: (x: 1565, y: 96)
  00:16:766: (x: 1572, y: 23)
  00:16:857: (x: 1572, y: 23)
  00:17:083: (x: 1576, y: 21)
  00:17:178: (x: 1576, y: 21)
  00:17:400: (x: 1569, y: 66)
  00:17:487: (x: 1582, y: 76)
  00:17:709: (x: 1600, y: 95)
  00:17:806: (x: 1600, y: 95)
  00:18:016: (x: 1637, y: 62)
  00:18:124: (x: 1637, y: 62)
  00:18:332: (x: 1629, y: 55)
  00:18:443: (x: 1616, y: 21)
  00:18:651: (x: 1650, y: 113)
  00:18:756: (x: 1594, y: 61)
  00:18:963: (x: 1356, y: -598)
  00:19:072: (x: 1610, y: -213)
  00:19:286: (x: 1549, y: -199)
  00:19:380: (x: 1549, y: -199)
  00:19:606: (x: 1608, y: -85)
  00:19:693: (x: 1565, y: -175)
  00:19:926: (x: 1584, y: 48)
  00:20:012: (x: 1599, y: 42)
  00:20:248: (x: 1573, y: 14)
  00:20:325: (x: 1573, y: 14)

Player Ahmed:
(coordinates recorded in cm precision)
  00:00:316: (x: 119, y: 830)
  00:00:461: (x: 126, y: 822)
  00:00:579: (x: 74, y: 753)
  00:00:634: (x: 74, y: 753)
  00:00:925: (x: 82, y: 796)
  00:01:091: (x: 125, y: 783)
  00:01:238: (x: 186, y: 804)
  00:01:404: (x: 165, y: 804)
  00:01:548: (x: 111, y: 857)
  00:01:718: (x: 144, y: 866)
  00:01:866: (x: 126, y: 787)
  00:02:024: (x: 126, y: 787)
  00:02:172: (x: 111, y: 791)
  00:02:329: (x: 107, y: 836)
  00:02:490: (x: 103, y: 875)
  00:02:640: (x: 82, y: 897)
  00:02:802: (x: 149, y: 871)
  00:02:945: (x: 149, y: 871)
  00:03:120: (x: 150, y: 849)
  00:03:253: (x: 55, y: 822)
  00:00:475: (x: 117, y: 882)
  00:00:726: (x: 103, y: 824)
  00:00:788: (x: 103, y: 824)
  00:01:047: (x: 119, y: 824)
  00:01:096: (x: 119, y: 824)
  00:01:358: (x: 72, y: 828)
  00:01:415: (x: 40, y: 751)
  00:01:672: (x: 120, y: 829)
  00:01:728: (x: 120, y: 829)
  00:01:986: (x: 57, y: 811)
  00:02:042: (x: 57, y: 811)
  00:02:300: (x: 53, y: 856)
  00:02:481: (x: 113, y: 837)
  00:02:615: (x: 113, y: 837)
  00:00:593: (x: 137, y: 883)
  00:00:854: (x: 167, y: 851)
  00:00:910: (x: 86, y: 846)
  00:01:173: (x: 35, y: 818)
  00:01:218: (x: 35, y: 818)
  00:01:482: (x: 87, y: 834)
  00:01:530: (x: 87, y: 834)
  00:01:795: (x: 107, y: 777)
  00:01:835: (x: 107, y: 777)
  00:02:101: (x: 117, y: 737)
  00:02:142: (x: 117, y: 737)
  00:02:407: (x: 87, y: 758)
  00:02:462: (x: 87, y: 758)
  00:02:727: (x: 100, y: 848)
  00:02:777: (x: 100, y: 848)
  00:03:036: (x: 144, y: 844)
  00:03:096: (x: 112, y: 876)
  00:03:345: (x: 67, y: 843)
  00:03:410: (x: 67, y: 843)
  00:03:655: (x: 117, y: 757)
  00:03:726: (x: 117, y: 757)
  00:03:961: (x: 89, y: 749)
  00:04:038: (x: 151, y: 797)
  00:04:273: (x: 115, y: 915)
  00:04:348: (x: 115, y: 915)
  00:04:589: (x: 43, y: 903)
  00:04:660: (x: 43, y: 903)
  00:04:901: (x: 102, y: 774)
  00:04:967: (x: 185, y: 808)
  00:05:219: (x: 173, y: 778)
  00:05:277: (x: 173, y: 778)
  00:05:532: (x: 126, y: 863)
  00:05:593: (x: 126, y: 863)
  00:05:845: (x: 193, y: 832)
  00:05:908: (x: 193, y: 832)
  00:06:158: (x: 120, y: 793)
  00:06:212: (x: 126, y: 787)
  00:06:474: (x: 66, y: 790)
  00:06:530: (x: 66, y: 790)
  00:06:781: (x: 31, y: 743)
  00:06:837: (x: 31, y: 743)
  00:07:090: (x: 51, y: 776)
  00:07:147: (x: 152, y: 827)
  00:07:403: (x: 182, y: 837)
  00:07:465: (x: 182, y: 837)
  00:07:716: (x: 84, y: 771)
  00:07:783: (x: 84, y: 771)
  00:08:030: (x: 52, y: 740)
  00:08:103: (x: 52, y: 740)
  00:08:341: (x: 87, y: 854)
  00:08:409: (x: 125, y: 786)
  00:08:653: (x: 41, y: 834)
  00:08:727: (x: 41, y: 834)
  00:08:960: (x: 68, y: 881)
  00:09:037: (x: 68, y: 881)
  00:09:266: (x: 54, y: 862)
  00:09:353: (x: 122, y: 826)
  00:09:587: (x: 83, y: 865)
  00:09:660: (x: 83, y: 865)
  00:09:907: (x: 111, y: 839)
  00:09:967: (x: 111, y: 839)
  00:10:214: (x: 122, y: 786)
  00:10:284: (x: 88, y: 814)
  00:10:524: (x: 58, y: 763)
  00:10:596: (x: 103, y: 800)
  00:10:831: (x: 100, y: 777)
  00:10:907: (x: 100, y: 777)
  00:11:137: (x: 141, y: 808)
  00:11:225: (x: 141, y: 808)
  00:11:450: (x: 55, y: 782)
  00:11:535: (x: 75, y: 721)
  00:11:774: (x: 104, y: 802)
  00:11:841: (x: 104, y: 802)
  00:12:079: (x: 23, y: 808)
  00:12:157: (x: 23, y: 808)
  00:12:394: (x: 128, y: 798)
  00:12:467: (x: 110, y: 785)
  00:12:708: (x: -3, y: 774)
  00:12:782: (x: 29, y: 863)
  00:13:020: (x: 43, y: 808)
  00:13:090: (x: 43, y: 808)
  00:13:332: (x: 120, y: 779)
  00:13:401: (x: 120, y: 779)
  00:13:642: (x: 88, y: 820)
  00:13:718: (x: 135, y: 812)
  00:13:956: (x: 102, y: 845)
  00:14:026: (x: 102, y: 845)
  00:14:266: (x: 136, y: 805)
  00:14:339: (x: 136, y: 805)
  00:14:573: (x: 109, y: 759)
  00:14:652: (x: 56, y: 809)
  00:14:883: (x: 114, y: 799)
  00:14:968: (x: 73, y: 768)
  00:15:199: (x: 135, y: 820)
  00:15:289: (x: 135, y: 820)
  00:15:508: (x: 123, y: 860)
  00:15:597: (x: 123, y: 860)
  00:15:824: (x: 110, y: 825)
  00:15:909: (x: 150, y: 798)
